Participant, Adaptor, TargetSize, Setting
DHB,baseline,1,1.3125
DHB,baseline,1,1.3125
DHB,baseline,1,1.375
DHB,baseline,1,1.125
DHB,baseline,1,1.25
DHB,baseline,1,1.4375
DHB,baseline,1,1.4375
DHB,baseline,1,1.6875
DHB,baseline,1,1.4375
DHB,baseline,1,1.1875
DHB,baseline,2,2.375
DHB,baseline,2,1.9375
DHB,baseline,2,2
DHB,baseline,2,2.375
DHB,baseline,2,2.0625
DHB,baseline,2,2.5
DHB,baseline,2,2.9375
DHB,baseline,2,2.75
DHB,baseline,2,2.75
DHB,baseline,2,2.75
DHB,baseline,4,4.0625
DHB,baseline,4,3.375
DHB,baseline,4,3.75
DHB,baseline,4,3.9375
DHB,baseline,4,4.0625
DHB,baseline,4,5.375
DHB,baseline,4,4.6875
DHB,baseline,4,4.875
DHB,baseline,4,4.125
DHB,baseline,4,3.75
DHB,baseline,8,10
DHB,baseline,8,10.625
DHB,baseline,8,7.8125
DHB,baseline,8,9.9375
DHB,baseline,8,10.0625
DHB,baseline,8,8.9375
DHB,baseline,8,10.125
DHB,baseline,8,10.75
DHB,baseline,8,11.1875
DHB,baseline,8,8.375
DHB,1,1,0.75
DHB,1,1,1.1875
DHB,1,1,0.875
DHB,1,1,1.0625
DHB,1,1,1.0625
DHB,1,2,2.9375
DHB,1,2,3
DHB,1,2,1.9375
DHB,1,2,2.9375
DHB,1,2,2.8125
DHB,1,4,4.8125
DHB,1,4,4.625
DHB,1,4,3.8125
DHB,1,4,5.9375
DHB,1,4,4.1875
DHB,1,8,10.375
DHB,1,8,9.8125
DHB,1,8,9.9375
DHB,1,8,10.125
DHB,1,8,10.9375
DHB,2,1,0.5625
DHB,2,1,0.625
DHB,2,1,0.75
DHB,2,1,0.6875
DHB,2,1,0.875
DHB,2,2,1.6875
DHB,2,2,2.4375
DHB,2,2,2.25
DHB,2,2,2.625
DHB,2,2,2.5
DHB,2,4,6.0625
DHB,2,4,5.625
DHB,2,4,5.8125
DHB,2,4,5.625
DHB,2,4,6.3125
DHB,2,8,10.1875
DHB,2,8,9.875
DHB,2,8,11.4375
DHB,2,8,11.375
DHB,2,8,11.625
DHB,4,1,1
DHB,4,1,0.5
DHB,4,1,0.625
DHB,4,1,0.875
DHB,4,1,0.75
DHB,4,2,1.3125
DHB,4,2,1.5
DHB,4,2,1.6875
DHB,4,2,1.875
DHB,4,2,1.625
DHB,4,4,3.5
DHB,4,4,4.8125
DHB,4,4,4.5625
DHB,4,4,5.1875
DHB,4,4,4.375
DHB,4,8,10.625
DHB,4,8,11.0625
DHB,4,8,9.4375
DHB,4,8,11.0625
DHB,4,8,10.3125
DHB,8,1,1.0625
DHB,8,1,0.75
DHB,8,1,0.6875
DHB,8,1,0.8125
DHB,8,1,0.875
DHB,8,2,2.125
DHB,8,2,1.25
DHB,8,2,1.75
DHB,8,2,1.5
DHB,8,2,1.625
DHB,8,4,3.3125
DHB,8,4,3.0625
DHB,8,4,2.625
DHB,8,4,3.125
DHB,8,4,3.1875
DHB,8,8,8.5625
DHB,8,8,7.75
DHB,8,8,8.5625
DHB,8,8,8.125
DHB,8,8,9.625
